chflags/00.t	chflags changes flags
chflags/01.t	chflags returns ENOTDIR if a component of the path prefix is not a directory
chflags/02.t	chflags returns ENAMETOOLONG if a component of a pathname exceeded {NAME_MAX} characters
chflags/03.t	chflags returns ENAMETOOLONG if an entire path name exceeded {PATH_MAX} characters
chflags/04.t	chflags returns ENOENT if the named file does not exist
chflags/05.t	chflags returns EACCES when search permission is denied for a component of the path prefix
chflags/06.t	chflags returns ELOOP if too many symbolic links were encountered in translating the pathname
chflags/07.t	chflags returns EPERM when the effective user ID does not match the owner of the file and the effective user ID is not the super-user
chflags/08.t	chflags returns EPERM when one of SF_IMMUTABLE, SF_APPEND, or SF_NOUNLINK is set and the user is not the super-user
chflags/09.t	chflags returns EPERM when one of SF_IMMUTABLE, SF_APPEND, or SF_NOUNLINK is set and securelevel is greater than 0
chflags/10.t	chflags returns EPERM if non-super-user tries to set one of SF_IMMUTABLE, SF_APPEND, or SF_NOUNLINK
chflags/11.t	chflags returns EPERM if a user tries to set or remove the SF_SNAPSHOT flag
chflags/12.t	chflags returns EROFS if the named file resides on a read-only file system
chflags/13.t	chflags returns EFAULT if the path argument points outside the process's allocated address space
chmod/00.t	chmod changes permission
chmod/01.t	chmod returns ENOTDIR if a component of the path prefix is not a directory
chmod/02.t	chmod returns ENAMETOOLONG if a component of a pathname exceeded {NAME_MAX} characters
chmod/03.t	chmod returns ENAMETOOLONG if an entire path name exceeded {PATH_MAX} characters
chmod/04.t	chmod returns ENOENT if the named file does not exist
chmod/05.t	chmod returns EACCES when search permission is denied for a component of the path prefix
chmod/06.t	chmod returns ELOOP if too many symbolic links were encountered in translating the pathname
chmod/07.t	chmod returns EPERM if the operation would change the ownership, but the effective user ID is not the super-user
chmod/08.t	chmod returns EPERM if the named file has its immutable or append-only flag set
chmod/09.t	chmod returns EROFS if the named file resides on a read-only file system
chmod/10.t	chmod returns EFAULT if the path argument points outside the process's allocated address space
chmod/11.t	chmod returns EFTYPE if the effective user ID is not the super-user, the mode includes the sticky bit (S_ISVTX), and path does not refer to a directory
chmod/12.t	verify SUID/SGID bit behaviour
chown/00.t	chown changes ownership
chown/01.t	chown returns ENOTDIR if a component of the path prefix is not a directory
chown/02.t	chown returns ENAMETOOLONG if a component of a pathname exceeded ${NAME_MAX} characters
chown/03.t	chown returns ENAMETOOLONG if an entire path name exceeded {PATH_MAX} characters
chown/04.t	chown returns ENOENT if the named file does not exist
chown/05.t	chown returns EACCES when search permission is denied for a component of the path prefix
chown/06.t	chown returns ELOOP if too many symbolic links were encountered in translating the pathname
chown/07.t	chown returns EPERM if the operation would change the ownership, but the effective user ID is not the super-user and the process is not an owner of the file
chown/08.t	chown returns EPERM if the named file has its immutable or append-only flag set
chown/09.t	chown returns EROFS if the named file resides on a read-only file system
chown/10.t	chown returns EFAULT if the path argument points outside the process's allocated address space
ftruncate/00.t	ftruncate descrease/increase file size
ftruncate/01.t	truncate returns ENOTDIR if a component of the path prefix is not a directory
ftruncate/02.t	truncate returns ENAMETOOLONG if a component of a pathname exceeded {NAME_MAX} characters
ftruncate/03.t	truncate returns ENAMETOOLONG if an entire path name exceeded {PATH_MAX} characters
ftruncate/04.t	truncate returns ENOENT if the named file does not exist
ftruncate/05.t	truncate returns EACCES when search permission is denied for a component of the path prefix
ftruncate/06.t	truncate returns EACCES if the named file is not writable by the user
ftruncate/07.t	truncate returns ELOOP if too many symbolic links were encountered in translating the pathname
ftruncate/08.t	truncate returns EPERM if the named file has its immutable or append-only flag set
